Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2019-08-30,15.36,26.35,23.3,12.31,1.84,0.37,24.52,30.56,29.12,Good
2019-08-31,14.78,29.3,19.09,15.0,2.61,0.33,25.19,29.72,29.3,Good
2019-09-01,22.12,42.97,25.03,10.62,2.23,0.48,22.21,28.83,42.97,Good
2019-09-02,10.06,21.85,24.25,31.03,1.91,0.42,19.23,29.02,30.31,Good
2019-09-03,8.43,15.31,22.7,35.45,2.89,0.39,22.0,28.63,28.38,Good
2019-09-04,7.14,17.52,11.47,30.61,2.17,0.28,13.74,28.44,17.52,Good
2019-09-05,8.59,20.14,17.93,16.54,2.34,0.35,23.48,28.25,23.48,Good
2019-09-06,7.63,17.38,20.42,30.55,2.39,0.33,23.21,28.53,25.53,Good
2019-09-07,6.86,19.28,21.6,32.72,2.31,0.38,19.81,27.37,27.0,Good
2019-09-08,9.54,19.39,22.76,15.07,2.04,0.36,18.87,27.48,28.45,Good
2019-09-09,8.24,25.02,20.37,52.45,2.56,0.3,31.07,28.85,31.07,Good
2019-09-10,14.49,31.64,13.93,50.51,3.38,0.31,34.97,29.44,34.97,Good
2019-09-11,12.17,26.39,23.2,32.03,3.04,0.38,20.89,27.78,29.0,Good
2019-09-12,13.01,23.92,23.67,40.39,3.33,0.39,14.92,26.33,29.59,Good
2019-09-13,12.49,28.85,19.94,32.66,3.31,0.33,24.24,27.88,28.85,Good
2019-09-14,15.6,36.47,19.05,22.62,3.57,0.31,39.7,28.85,39.7,Good
2019-09-15,19.76,38.33,14.86,11.92,5.75,0.27,47.07,29.66,47.07,Good
2019-09-16,15.97,33.92,15.06,24.47,4.48,0.34,28.42,29.49,33.92,Good
2019-09-17,16.44,32.24,13.99,22.8,3.81,0.35,16.85,29.58,32.24,Good
2019-09-18,12.23,23.46,14.48,10.95,4.28,0.36,18.22,28.72,23.46,Good
2019-09-19,8.3,17.82,13.36,6.79,3.84,0.29,15.88,29.39,17.82,Good
2019-09-20,13.23,32.75,31.65,10.08,4.51,0.54,18.15,28.8,39.56,Good
2019-09-21,20.94,45.12,28.23,11.58,5.54,0.51,20.73,27.43,45.12,Good
2019-09-22,16.41,29.92,19.96,9.76,4.19,0.44,31.12,28.04,31.12,Good
2019-09-23,10.14,23.92,17.53,9.7,4.24,0.4,27.9,28.41,27.9,Good
2019-09-24,10.64,24.33,15.86,12.14,3.97,0.29,13.32,25.94,24.33,Good
2019-09-25,9.88,16.06,18.14,9.81,4.01,0.43,10.32,24.78,22.68,Good
2019-09-26,11.44,19.74,23.18,9.17,3.93,0.48,19.27,25.65,28.98,Good
2019-09-27,12.9,23.44,25.17,23.93,4.14,0.47,16.85,25.89,31.46,Good
2019-09-28,17.09,27.9,22.61,27.31,4.44,0.49,12.89,25.34,28.48,Good
2019-09-29,3.15,18.22,21.65,15.73,3.5,0.38,20.07,25.37,27.06,Good
2019-09-30,3.01,18.87,20.6,18.22,3.79,0.37,17.05,26.01,25.75,Good
2019-10-01,49.68,145.48,36.24,22.85,6.8,0.62,45.23,29.85,130.32,Moderately Polluted
2019-10-02,64.69,316.4,34.8,12.69,5.22,0.62,44.15,29.42,266.4,Poor
2019-10-03,43.02,111.54,35.67,38.94,4.55,0.58,26.59,28.1,107.69,Moderately Polluted
2019-10-04,33.45,89.38,20.94,35.23,5.85,0.43,45.78,28.81,89.38,Satisfactory
2019-10-05,41.69,92.4,31.76,21.64,3.79,0.67,42.67,28.03,92.4,Satisfactory
2019-10-06,50.91,115.03,27.15,13.71,3.81,0.52,31.42,28.12,110.02,Moderately Polluted
2019-10-07,42.22,142.33,26.64,10.45,4.55,0.56,34.57,26.59,128.22,Moderately Polluted
2019-10-08,27.33,113.07,23.74,10.02,3.92,0.52,27.36,27.29,108.71,Moderately Polluted
2019-10-09,12.72,81.72,14.62,10.49,4.21,0.32,20.06,25.33,81.72,Satisfactory
2019-10-10,26.07,155.29,25.35,8.47,4.84,0.79,20.43,26.56,136.86,Moderately Polluted
2019-10-11,52.28,84.63,29.19,9.51,6.26,0.99,29.44,27.33,87.13,Satisfactory
