Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2019-08-21,11.24,43.98,180.59,9.3,6.1,0.25,15.18,30.25,200.59,Poor
2019-08-22,21.28,45.7,83.86,5.42,8.01,0.18,36.86,29.28,103.86,Moderately Polluted
2019-08-23,7.8,19.51,180.59,118.91,2.12,0.2,43.98,28.81,200.59,Poor
2019-08-24,7.48,19.47,277.32,232.41,2.93,0.18,40.97,27.42,297.32,Poor
2019-08-25,7.1,16.46,33.16,38.57,1.47,0.18,62.44,27.42,62.44,Satisfactory
2019-08-26,9.82,14.82,16.03,19.34,3.51,0.18,54.36,27.69,54.36,Satisfactory
2019-08-27,16.64,20.58,15.23,16.57,3.87,0.19,33.54,28.41,33.54,Good
2019-08-28,21.68,25.74,13.92,9.4,4.03,0.22,24.75,28.96,36.13,Good
2019-08-29,7.52,14.58,13.14,5.65,4.28,0.18,23.29,28.27,23.29,Good
2019-08-30,6.92,22.99,9.83,5.99,3.99,0.16,17.65,29.89,22.99,Good
2019-08-31,3.49,25.96,10.7,5.95,3.92,0.17,17.03,30.2,25.96,Good
2019-09-01,6.64,36.54,15.3,6.89,3.91,0.29,25.01,29.48,36.54,Good
2019-09-02,3.56,24.07,13.86,8.02,3.35,0.26,16.6,28.86,24.07,Good
2019-09-03,2.62,13.17,2.54,23.15,1.59,0.23,15.59,28.0,15.59,Good
2019-09-04,3.95,10.96,2.78,4.52,3.6,0.16,19.02,28.82,19.02,Good
2019-09-05,4.32,14.11,5.04,6.01,3.38,0.18,23.52,28.86,23.52,Good
2019-09-06,4.95,14.32,4.54,8.0,4.57,0.18,27.46,29.16,27.46,Good
2019-09-07,6.31,14.73,4.84,7.11,4.51,0.22,22.23,27.76,22.23,Good
2019-09-08,9.81,15.42,5.41,4.92,3.86,0.19,17.39,27.68,17.39,Good
2019-09-09,14.47,29.11,5.19,5.66,5.3,0.24,20.13,29.07,29.11,Good
2019-09-10,17.32,36.12,5.15,5.78,3.1,0.27,17.68,29.18,36.12,Good
2019-09-11,9.85,27.38,5.07,5.05,3.43,0.31,14.67,28.1,27.38,Good
2019-09-12,13.18,25.64,5.1,6.25,4.63,0.23,12.34,26.73,25.64,Good
2019-09-13,4.07,28.83,4.7,10.18,5.22,0.18,18.28,28.04,28.83,Good
2019-09-14,4.0,36.82,4.99,9.85,5.17,0.24,32.87,29.31,36.82,Good
2019-09-15,4.03,42.81,4.86,9.88,6.16,0.22,34.98,30.09,42.81,Good
2019-09-16,7.85,37.47,4.8,10.13,6.41,0.22,18.95,29.59,37.47,Good
2019-09-17,14.41,36.84,4.94,10.2,7.0,0.19,11.78,30.17,36.84,Good
2019-09-18,10.72,20.23,4.86,10.19,4.83,0.2,16.47,29.27,20.23,Good
2019-09-19,9.47,17.06,4.97,10.04,3.27,0.2,13.83,30.23,17.06,Good
2019-09-20,19.9,35.32,5.1,9.85,4.01,0.31,25.01,30.3,35.32,Good
2019-09-21,23.94,38.92,4.96,10.06,4.08,0.4,22.01,28.06,39.9,Good
2019-09-22,18.03,27.64,4.92,10.18,3.99,0.3,26.67,28.75,30.05,Good
2019-09-23,11.07,17.28,4.87,10.1,5.66,0.29,24.84,28.68,24.84,Good
2019-09-24,4.88,9.51,5.0,10.0,5.0,0.14,15.84,26.34,15.84,Good
2019-09-25,8.58,14.84,5.78,9.15,4.62,0.37,10.64,25.32,18.5,Good
2019-09-26,14.09,21.89,5.03,10.06,4.89,0.36,17.37,25.85,23.48,Good
2019-09-27,14.68,22.49,4.86,9.82,4.9,0.39,17.49,26.39,24.47,Good
2019-09-28,14.13,23.59,4.88,10.0,5.7,0.38,13.43,25.6,23.59,Good
2019-09-29,10.87,17.89,5.05,9.99,4.85,0.27,16.96,25.38,18.12,Good
2019-09-30,11.75,22.84,5.08,9.9,5.89,0.34,21.97,26.87,22.84,Good
2019-10-01,28.55,48.49,5.0,9.74,7.32,0.54,24.38,28.66,48.49,Good
2019-10-02,42.51,69.7,4.97,9.9,7.45,0.51,37.56,29.55,70.85,Satisfactory
2019-10-03,29.25,47.38,5.13,9.96,4.69,0.36,29.3,28.22,48.75,Good
2019-10-04,25.05,45.3,5.3,9.98,6.2,0.36,37.07,29.08,45.3,Good
2019-10-05,14.09,54.98,5.21,9.85,4.61,0.48,28.63,28.16,54.98,Satisfactory
2019-10-06,12.06,67.56,4.94,9.86,4.56,0.44,29.04,28.73,67.56,Satisfactory
2019-10-07,11.75,54.86,5.12,9.67,5.13,0.48,28.99,26.98,54.86,Satisfactory
2019-10-08,12.12,47.16,4.87,9.75,4.76,0.44,24.28,27.27,47.16,Good
