Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2019-06-03,28.73,39.49,14.28,1.53,0.65,0.34,111.57,31.78,117.01,Moderately Polluted
2019-06-04,24.15,43.44,10.59,1.32,0.85,0.29,53.63,30.46,53.63,Satisfactory
2019-06-05,26.6,34.25,15.16,1.92,1.0,0.34,36.64,27.51,44.33,Good
2019-06-06,16.72,26.99,17.16,2.3,0.98,0.38,40.1,28.43,40.1,Good
2019-06-07,17.45,28.71,15.51,2.08,1.16,0.38,51.35,28.43,51.35,Satisfactory
2019-06-08,13.73,27.49,13.18,1.82,1.31,0.35,44.54,29.82,44.54,Good
2019-06-09,32.76,43.86,8.38,1.19,1.37,0.38,53.75,30.52,54.6,Satisfactory
2019-06-10,36.98,56.83,11.58,1.53,0.85,0.34,54.38,30.87,61.63,Satisfactory
2019-06-11,32.51,57.89,13.43,1.82,1.04,0.35,59.16,31.05,59.16,Satisfactory
2019-06-12,33.34,61.46,11.62,1.65,4.09,0.35,52.74,31.13,61.46,Satisfactory
2019-06-13,41.89,57.68,15.81,2.0,1.56,0.46,71.49,31.17,71.49,Satisfactory
2019-06-14,52.49,69.57,25.32,2.71,1.12,0.5,60.72,31.2,87.48,Satisfactory
2019-06-15,26.64,45.87,14.79,1.83,1.01,0.38,34.69,31.21,45.87,Good
2019-06-16,28.54,52.07,8.85,1.23,1.02,0.38,40.43,31.21,52.07,Satisfactory
2019-06-17,50.0,94.43,18.06,2.18,3.97,0.5,38.43,31.21,94.43,Satisfactory
2019-06-18,48.52,78.52,18.33,2.6,2.18,0.48,24.43,31.21,80.87,Satisfactory
2019-06-19,48.98,86.19,15.91,4.4,3.5,0.46,43.38,31.21,86.19,Satisfactory
2019-06-20,24.36,43.09,15.51,9.98,1.33,0.35,18.2,31.21,43.09,Good
2019-06-21,14.49,35.58,14.82,13.91,1.44,0.39,13.76,31.21,35.58,Good
2019-06-22,19.31,35.89,12.2,14.74,2.08,0.41,15.52,31.21,35.89,Good
2019-06-23,15.77,34.99,7.97,8.88,1.93,0.37,13.94,31.21,34.99,Good
2019-06-24,23.06,46.21,8.02,9.02,2.12,0.3,24.76,31.21,46.21,Good
2019-06-25,21.32,46.47,5.51,11.11,2.4,0.27,16.18,31.21,46.47,Good
2019-06-26,18.36,37.44,4.84,9.79,1.97,0.24,17.97,31.21,37.44,Good
2019-06-27,19.38,41.29,5.65,14.26,1.94,0.25,18.93,31.21,41.29,Good
2019-06-28,26.44,50.07,8.78,16.12,2.3,0.35,24.25,31.21,50.07,Satisfactory
2019-06-29,45.21,65.74,14.22,15.23,2.37,0.5,19.48,31.21,75.35,Satisfactory
2019-06-30,41.89,45.16,16.61,15.03,2.25,0.6,10.8,31.21,69.82,Satisfactory
2019-07-01,20.15,30.44,13.42,20.6,1.63,0.43,13.15,31.21,33.58,Good
2019-07-02,12.62,23.12,12.3,29.34,1.63,0.37,15.42,31.21,23.12,Good
2019-07-03,14.46,22.91,8.0,24.21,1.93,0.39,23.89,31.21,24.1,Good
2019-07-04,23.22,39.14,9.2,31.18,5.02,0.38,28.02,31.21,39.14,Good
2019-07-05,23.04,34.0,14.59,37.53,4.34,0.39,15.87,31.21,38.4,Good
2019-07-06,20.63,31.54,11.42,34.79,6.02,0.41,15.53,31.21,34.38,Good
2019-07-07,14.48,28.31,8.8,23.83,5.81,0.34,13.21,31.21,28.31,Good
2019-07-08,22.0,42.56,6.71,18.62,5.64,0.28,20.58,31.21,42.56,Good
2019-07-09,21.36,39.3,7.12,19.45,6.93,0.27,20.9,31.21,39.3,Good
2019-07-10,19.07,33.96,8.98,19.91,6.17,0.31,20.22,31.21,33.96,Good
2019-07-11,19.83,37.1,8.15,20.17,5.46,0.29,18.71,31.21,37.1,Good
2019-07-12,22.19,38.4,8.58,19.93,8.43,0.29,21.37,31.21,38.4,Good
2019-07-13,26.42,46.61,8.16,18.36,7.98,0.33,24.14,31.21,46.61,Good
2019-07-14,40.29,47.83,7.3,15.04,7.47,0.33,25.8,31.21,67.15,Satisfactory
2019-07-15,28.24,61.19,17.81,19.74,8.17,0.39,36.98,31.21,61.19,Satisfactory
2019-07-16,33.8,54.8,28.1,32.58,5.27,0.56,23.5,31.21,56.33,Satisfactory
