Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2018-11-06,189.46,226.31,51.6,16.13,25.46,0.85,70.5,29.9,353.43,Very poor
2018-11-07,276.07,284.27,50.64,29.52,15.51,1.06,45.31,30.36,420.05,Severe
2018-11-08,214.91,365.48,61.6,26.73,21.16,1.31,66.0,30.59,373.01,Very poor
2018-11-09,223.99,362.24,54.73,19.99,21.15,1.18,65.9,30.7,379.99,Very poor
2018-11-10,188.66,312.49,64.48,19.34,21.28,1.06,40.72,30.76,352.82,Very poor
2018-11-11,154.5,260.18,39.85,19.86,17.52,1.02,35.17,30.79,326.54,Very poor
2018-11-12,175.61,389.56,37.37,22.13,18.64,1.21,29.97,30.8,349.45,Very poor
2018-11-13,212.58,361.19,48.69,35.52,18.41,1.2,31.87,30.81,371.22,Very poor
2018-11-14,224.08,366.67,64.84,38.96,19.8,1.44,50.64,30.81,380.06,Very poor
2018-11-15,218.39,407.88,81.45,38.05,38.73,1.21,46.77,30.81,375.68,Very poor
2018-11-16,171.27,339.57,78.13,87.23,30.13,2.26,48.81,30.81,339.44,Very poor
2018-11-17,164.19,299.4,83.37,62.58,18.95,1.98,68.95,30.81,333.99,Very poor
2018-11-18,200.55,314.21,56.41,25.68,11.92,1.29,80.14,30.81,361.96,Very poor
2018-11-19,147.28,237.96,85.93,32.6,11.1,1.2,73.0,30.81,320.98,Very poor
2018-11-20,172.76,263.04,97.8,35.83,14.1,1.47,44.94,30.81,340.58,Very poor
2018-11-21,107.82,262.02,27.49,18.4,10.81,0.62,24.95,30.81,259.4,Poor
2018-11-22,204.44,406.85,41.54,76.13,17.7,1.0,70.6,30.81,371.06,Very poor
2018-11-23,216.02,349.58,57.2,70.91,15.27,0.9,43.16,30.81,373.86,Very poor
2018-11-24,230.43,514.35,49.88,79.92,19.59,0.98,41.93,30.81,505.44,Severe
2018-11-25,266.57,473.13,74.57,28.57,11.74,0.87,42.97,30.81,453.91,Severe
2018-11-26,175.62,304.99,58.55,26.1,8.3,0.48,46.34,30.81,342.78,Very poor
2018-11-27,120.45,215.66,52.67,23.52,7.35,0.41,39.95,30.81,300.35,Very poor
2018-11-28,115.77,188.85,51.5,24.02,7.98,0.36,36.39,30.81,285.9,Poor
2018-11-29,125.51,254.11,42.94,23.75,9.46,0.38,34.18,30.81,304.24,Very poor
2018-11-30,142.7,276.78,54.74,26.29,12.56,0.4,37.35,30.81,317.46,Very poor
2018-12-01,181.0,291.27,59.77,25.02,23.54,0.5,42.5,30.81,346.92,Very poor
2018-12-02,194.8,336.26,41.04,24.31,11.58,0.31,52.79,30.81,357.54,Very poor
2018-12-03,184.01,358.69,58.11,24.99,14.05,0.42,55.03,30.81,349.24,Very poor
2018-12-04,220.95,463.47,47.17,22.92,15.24,0.9,65.95,30.81,441.84,Severe
2018-12-05,286.12,500.0,87.54,20.6,19.73,0.42,46.18,30.81,487.5,Severe
2018-12-06,238.24,400.68,104.55,15.11,14.45,0.57,59.99,30.81,390.95,Very poor
2018-12-07,286.94,470.24,129.58,12.09,21.64,0.45,36.18,30.81,450.3,Severe
2018-12-08,278.48,439.96,119.4,15.75,13.84,0.48,50.01,30.81,421.91,Severe
2018-12-09,254.95,484.59,158.13,9.63,13.67,0.3,10.13,30.81,468.24,Severe
2018-12-10,230.78,458.69,104.13,19.14,6.74,0.27,39.81,30.81,435.86,Severe
2018-12-11,249.55,425.81,65.11,13.86,10.82,0.34,24.34,30.81,399.65,Very poor
2018-12-12,215.04,367.73,97.76,23.14,18.37,0.26,37.61,30.81,373.11,Very poor
2018-12-13,148.49,262.68,71.02,28.33,12.82,0.18,47.11,30.81,321.92,Very poor
2018-12-14,150.72,263.72,57.42,24.22,13.64,0.17,57.37,30.81,323.63,Very poor
2018-12-15,167.4,275.33,78.51,22.2,17.62,0.2,47.54,30.81,336.46,Very poor
2018-12-16,139.65,245.78,67.86,23.36,11.97,0.16,47.26,30.81,315.12,Very poor
2018-12-17,144.27,218.68,53.21,28.28,8.26,0.15,34.89,30.81,318.67,Very poor
2018-12-18,79.21,115.72,78.55,14.75,4.72,0.22,28.21,30.81,164.03,Moderately Polluted
2018-12-19,99.34,155.69,76.76,12.44,8.17,0.27,24.38,30.81,231.13,Poor
2018-12-20,162.31,255.09,80.63,13.2,8.61,0.29,33.21,30.81,332.55,Very poor
2018-12-21,251.77,402.21,85.36,10.28,15.05,0.27,40.47,30.81,401.36,Severe
2018-12-22,258.5,377.81,100.52,14.06,14.64,0.25,39.18,30.81,406.54,Severe
2018-12-23,248.76,354.42,99.84,14.5,17.99,0.25,38.06,30.81,399.05,Very poor
2018-12-24,222.8,326.87,94.12,13.52,16.67,0.25,34.13,30.81,379.08,Very poor
2018-12-25,245.2,381.25,98.65,10.33,17.6,0.24,44.68,30.81,396.31,Very poor
2018-12-26,205.66,339.76,107.43,13.32,15.56,0.26,47.53,30.81,365.89,Very poor
2018-12-27,282.99,488.59,138.61,7.87,18.36,0.24,34.39,30.81,473.24,Severe
2018-12-28,245.04,370.99,122.43,9.5,16.8,0.25,31.56,30.81,396.18,Very poor
2018-12-29,265.8,378.84,120.36,8.38,18.68,0.24,39.38,30.81,412.15,Severe
2018-12-30,207.65,312.2,97.14,14.08,17.79,0.24,46.32,30.81,367.42,Very poor
2018-12-31,225.08,350.24,92.51,15.32,14.09,0.24,53.65,30.81,380.83,Very poor
2019-01-01,232.97,349.18,103.73,16.31,15.99,0.24,37.13,30.81,386.9,Very poor
2019-01-02,185.25,283.52,105.5,17.51,13.82,0.25,40.61,30.81,350.19,Very poor
2019-01-03,298.47,470.55,154.73,10.86,27.36,0.24,35.67,30.81,450.69,Severe
2019-01-04,301.81,447.17,110.37,27.18,16.32,0.25,50.21,30.81,439.85,Severe
2019-01-05,253.63,378.3,112.81,23.95,14.44,0.24,31.81,30.81,402.79,Severe
2019-01-06,181.52,280.46,96.72,23.68,15.11,0.25,30.99,30.81,347.32,Very poor
2019-01-07,179.78,306.99,128.34,23.08,18.3,0.24,27.5,30.81,345.98,Very poor
2019-01-08,190.09,301.01,74.5,23.13,18.42,0.26,33.96,30.81,353.92,Very poor
2019-01-09,205.11,342.99,51.17,18.88,17.54,0.24,40.22,30.81,365.47,Very poor
2019-01-10,264.14,390.76,85.04,14.97,15.93,0.24,53.05,30.81,410.88,Severe
2019-01-11,246.93,385.99,68.72,15.86,19.71,0.25,57.38,30.81,397.64,Very poor
2019-01-12,257.88,428.37,58.49,10.62,16.28,0.25,38.38,30.81,406.06,Severe
2019-01-13,253.32,391.25,62.77,13.28,15.06,0.24,39.81,30.81,402.55,Severe
2019-01-14,288.05,470.43,104.22,14.21,25.51,0.24,35.47,30.81,450.54,Severe
2019-01-15,221.18,363.33,89.11,36.34,16.1,0.16,41.4,30.81,377.83,Very poor
2019-01-16,190.68,314.82,41.8,42.9,23.78,0.83,46.28,30.81,354.37,Very poor
2019-01-17,255.77,440.88,36.74,57.22,34.38,1.17,30.16,30.81,413.6,Severe
2019-01-18,289.24,498.25,55.87,53.37,23.39,1.26,37.62,30.81,485.31,Severe
2019-01-19,318.05,491.16,46.46,56.6,23.13,1.44,28.24,30.81,476.45,Severe
2019-01-20,311.49,481.23,39.86,47.71,20.11,1.26,29.41,30.81,464.04,Severe
2019-01-21,316.82,525.62,31.7,54.12,20.38,1.61,29.79,30.81,519.52,Severe
2019-01-22,337.8,554.66,56.34,51.07,22.8,1.58,30.32,30.81,555.82,Severe
2019-01-23,341.23,581.0,45.09,31.12,15.04,1.91,29.03,30.81,588.75,Severe
2019-01-24,256.79,398.2,66.0,34.29,17.11,1.08,29.27,30.81,405.22,Severe
2019-01-25,188.52,293.25,74.18,29.56,10.46,0.65,30.29,30.81,352.71,Very poor
2019-01-26,147.36,227.88,66.27,24.31,12.88,0.37,29.73,30.81,321.05,Very poor
2019-01-27,141.07,220.07,75.72,21.19,15.6,0.42,23.83,30.81,316.21,Very poor
2019-01-28,135.9,213.07,76.13,19.8,12.16,0.3,21.06,30.81,312.23,Very poor
