Date,PM2.5,PM10,NO2,NH3,SO2,CO,Ozone,AT,AQI,AQI_Standard
2018-04-10,34.44,57.58,40.34,2.23,25.91,1.0,35.78,29.56,57.58,Satisfactory
2018-04-11,27.44,49.77,41.72,3.27,21.12,0.96,28.78,29.98,52.15,Satisfactory
2018-04-12,21.49,43.3,40.85,3.58,2.76,0.76,42.79,30.19,51.06,Satisfactory
2018-04-13,23.07,45.91,29.53,3.84,2.04,0.98,41.8,30.29,49.0,Good
2018-04-14,21.27,42.23,27.35,4.17,1.68,0.97,44.96,30.34,48.5,Good
2018-04-15,31.02,55.66,42.19,2.85,1.5,0.84,58.62,30.37,58.62,Satisfactory
2018-04-16,26.74,50.93,28.88,3.46,1.41,1.11,47.26,30.38,55.5,Satisfactory
2018-04-17,11.69,19.87,35.21,2.22,1.36,1.15,36.74,30.38,57.5,Satisfactory
2018-04-18,6.21,11.08,30.16,25.33,1.33,1.1,30.78,30.38,55.0,Satisfactory
2018-04-19,3.46,6.69,28.87,15.21,1.32,1.17,27.03,30.38,58.5,Satisfactory
2018-04-20,2.09,4.49,24.97,11.95,1.31,1.16,25.92,30.38,58.0,Satisfactory
2018-04-21,1.4,3.39,26.83,9.49,1.31,1.13,26.64,30.38,56.5,Satisfactory
2018-04-22,1.06,2.84,29.04,9.7,1.31,1.09,27.22,30.38,54.5,Satisfactory
2018-04-23,0.89,2.56,36.03,10.58,1.31,1.11,31.39,30.38,55.5,Satisfactory
2018-04-24,0.8,2.42,50.33,14.2,1.31,1.02,47.43,30.38,62.91,Satisfactory
2018-04-25,0.76,2.35,26.78,12.58,1.31,0.69,23.27,30.38,34.5,Good
2018-04-26,0.74,2.32,24.65,12.04,1.31,0.0,13.68,30.38,30.81,Good
2018-04-27,0.73,2.3,46.55,11.54,1.31,0.0,8.89,30.38,58.19,Satisfactory
2018-04-28,0.72,2.29,49.87,13.9,1.31,0.0,6.5,30.38,62.34,Satisfactory
2018-04-29,0.72,2.29,21.39,12.22,1.31,0.0,5.3,30.38,26.74,Good
2018-04-30,0.72,2.29,27.12,11.56,1.31,0.0,4.7,30.38,33.9,Good
2018-05-01,0.72,2.29,32.44,13.51,1.31,0.0,4.4,30.38,40.55,Good
2018-05-02,0.72,2.29,32.63,12.01,1.31,0.0,4.25,30.38,40.79,Good
2018-05-03,0.72,2.29,35.49,11.46,1.31,0.0,4.17,30.38,44.36,Good
2018-05-04,0.72,2.29,28.71,10.64,1.31,0.0,4.13,30.38,35.89,Good
2018-05-05,0.72,2.29,21.78,8.76,1.31,0.0,4.12,30.38,27.23,Good
2018-05-06,0.72,2.29,17.77,8.82,1.31,0.0,4.11,30.38,22.21,Good
2018-05-07,0.72,2.29,25.17,7.5,1.31,0.0,4.11,30.38,31.46,Good
2018-05-08,0.72,2.29,28.47,6.7,1.31,0.0,4.11,30.38,35.59,Good
2018-05-09,0.72,2.29,24.17,7.19,1.31,0.0,4.11,30.38,30.21,Good
2018-05-10,0.72,2.29,30.86,7.3,1.31,0.0,4.11,30.38,38.58,Good
2018-05-11,0.72,2.29,28.48,13.01,1.31,0.0,4.11,30.38,35.6,Good
2018-05-12,0.72,2.29,30.28,13.32,1.31,0.0,4.11,30.38,37.85,Good
2018-05-13,0.72,2.29,25.7,10.95,1.31,0.0,4.11,30.38,32.12,Good
2018-05-14,0.72,2.29,61.95,8.94,1.31,0.0,4.11,30.38,77.44,Satisfactory
2018-05-15,0.72,2.29,38.19,10.23,1.31,0.0,4.11,30.38,47.74,Good
2018-05-16,0.72,2.29,37.81,12.66,1.31,0.0,4.11,30.38,47.26,Good
